target,pose_rank,affinity,cnnscore,minimizedAffinity,file
5HT2A_active_6WGT,1,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,2,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,3,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,4,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,5,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,6,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,7,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,8,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,9,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,10,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,11,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,12,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,13,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,14,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,15,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,16,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,17,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,18,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,19,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,20,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,21,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,22,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,23,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,24,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,25,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,26,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,27,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,28,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,29,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,30,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,31,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,32,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,33,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,34,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,35,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,36,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,37,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,38,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,39,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,40,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,41,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,42,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,43,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,44,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,45,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,46,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,47,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,48,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,49,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,50,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,51,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,52,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,53,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,54,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,55,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,56,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,57,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,58,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,59,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,60,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,61,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,62,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,63,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,64,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,65,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,66,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,67,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,68,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,69,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,70,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,71,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,72,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,73,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,74,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,75,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,76,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,77,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,78,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,79,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,80,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,81,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,82,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,83,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,84,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,85,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,86,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,87,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,88,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,89,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,90,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,91,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,92,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,93,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,94,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,95,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,96,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,97,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,98,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,99,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,100,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,101,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,102,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,103,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,104,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,105,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,106,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,107,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,108,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,109,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,110,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,111,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,112,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,113,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,114,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,115,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,116,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,117,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,118,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,119,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_6WGT,120,,,,data/results/dock_5HT2A_active_6WGT/poses.sdf
5HT2A_active_7WC5,1,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,2,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,3,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,4,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,5,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,6,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,7,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,8,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,9,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,10,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,11,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,12,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,13,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,14,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,15,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,16,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,17,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,18,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,19,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,20,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,21,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,22,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,23,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,24,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,25,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,26,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,27,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,28,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,29,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,30,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,31,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,32,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,33,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,34,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,35,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,36,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,37,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,38,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,39,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,40,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,41,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,42,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,43,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,44,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,45,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,46,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,47,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
